,movie_title,title_year,country,budget,director_first_name,director_last_name
0,Avatar ,2009,USA,237000000,James,Cameron
1,Pirates of the Caribbean: At World's End ,2007,USA,300000000,Gore,Verbinski
2,Spectre ,2015,UK,245000000,Sam,Mendes
3,The Dark Knight Rises ,2012,USA,250000000,Christopher,Nolan
5,John Carter ,2012,USA,263700000,Andrew,Stanton
6,Spider-Man 3 ,2007,USA,258000000,Sam,Raimi
7,Tangled ,2010,USA,260000000,Nathan,Greno
8,Avengers: Age of Ultron ,2015,USA,250000000,Joss,Whedon
9,Harry Potter and the Half-Blood Prince ,2009,UK,250000000,David,Yates
10,Batman v Superman: Dawn of Justice ,2016,USA,250000000,Zack,Snyder
11,Superman Returns ,2006,USA,209000000,Bryan,Singer
12,Quantum of Solace ,2008,UK,200000000,Marc,Forster
13,Pirates of the Caribbean: Dead Man's Chest ,2006,USA,225000000,Gore,Verbinski
14,The Lone Ranger ,2013,USA,215000000,Gore,Verbinski
15,Man of Steel ,2013,USA,225000000,Zack,Snyder
16,The Chronicles of Narnia: Prince Caspian ,2008,USA,225000000,Andrew,Adamson
17,The Avengers ,2012,USA,220000000,Joss,Whedon
18,Pirates of the Caribbean: On Stranger Tides ,2011,USA,250000000,Rob,Marshall
19,Men in Black 3 ,2012,USA,225000000,Barry,Sonnenfeld
20,The Hobbit: The Battle of the Five Armies ,2014,New Zealand,250000000,Peter,Jackson
21,The Amazing Spider-Man ,2012,USA,230000000,Marc,Webb
22,Robin Hood ,2010,USA,200000000,Ridley,Scott
23,The Hobbit: The Desolation of Smaug ,2013,USA,225000000,Peter,Jackson
24,The Golden Compass ,2007,USA,180000000,Chris,Weitz
25,King Kong ,2005,New Zealand,207000000,Peter,Jackson
26,Titanic ,1997,USA,200000000,James,Cameron
27,Captain America: Civil War ,2016,USA,250000000,Anthony,Russo
28,Battleship ,2012,USA,209000000,Peter,Berg
29,Jurassic World ,2015,USA,150000000,Colin,Trevorrow
30,Skyfall ,2012,UK,200000000,Sam,Mendes
31,Spider-Man 2 ,2004,USA,200000000,Sam,Raimi
32,Iron Man 3 ,2013,USA,200000000,Shane,Black
33,Alice in Wonderland ,2010,USA,200000000,Tim,Burton
34,X-Men: The Last Stand ,2006,Canada,210000000,Brett,Ratner
35,Monsters University ,2013,USA,200000000,Dan,Scanlon
36,Transformers: Revenge of the Fallen ,2009,USA,200000000,Michael,Bay
37,Transformers: Age of Extinction ,2014,USA,210000000,Michael,Bay
38,Oz the Great and Powerful ,2013,USA,215000000,Sam,Raimi
39,The Amazing Spider-Man 2 ,2014,USA,200000000,Marc,Webb
40,TRON: Legacy ,2010,USA,170000000,Joseph,Kosinski
41,Cars 2 ,2011,USA,200000000,John,Lasseter
42,Green Lantern ,2011,USA,200000000,Martin,Campbell
43,Toy Story 3 ,2010,USA,200000000,Lee,Unkrich
44,Terminator Salvation ,2009,USA,200000000,McG,
45,Furious 7 ,2015,USA,190000000,James,Wan
46,World War Z ,2013,USA,190000000,Marc,Forster
47,X-Men: Days of Future Past ,2014,USA,200000000,Bryan,Singer
48,Star Trek Into Darkness ,2013,USA,190000000,J.J.,Abrams
49,Jack the Giant Slayer ,2013,USA,195000000,Bryan,Singer
50,The Great Gatsby ,2013,Australia,105000000,Baz,Luhrmann
51,Prince of Persia: The Sands of Time ,2010,USA,200000000,Mike,Newell
52,Pacific Rim ,2013,USA,190000000,Guillermo,del Toro
53,Transformers: Dark of the Moon ,2011,USA,195000000,Michael,Bay
54,Indiana Jones and the Kingdom of the Crystal Skull ,2008,USA,185000000,Steven,Spielberg
56,Brave ,2012,USA,185000000,Mark,Andrews
57,Star Trek Beyond ,2016,USA,185000000,Justin,Lin
58,WALL·E ,2008,USA,180000000,Andrew,Stanton
59,Rush Hour 3 ,2007,USA,140000000,Brett,Ratner
60,2012 ,2009,USA,200000000,Roland,Emmerich
61,A Christmas Carol ,2009,USA,200000000,Robert,Zemeckis
62,Jupiter Ascending ,2015,USA,176000000,Lana,Wachowski
63,The Legend of Tarzan ,2016,USA,180000000,David,Yates
64,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",2005,USA,180000000,Andrew,Adamson
65,X-Men: Apocalypse ,2016,USA,178000000,Bryan,Singer
66,The Dark Knight ,2008,USA,185000000,Christopher,Nolan
67,Up ,2009,USA,175000000,Pete,Docter
68,Monsters vs. Aliens ,2009,USA,175000000,Rob,Letterman
69,Iron Man ,2008,USA,140000000,Jon,Favreau
70,Hugo ,2011,USA,170000000,Martin,Scorsese
71,Wild Wild West ,1999,USA,170000000,Barry,Sonnenfeld
72,The Mummy: Tomb of the Dragon Emperor ,2008,USA,145000000,Rob,Cohen
73,Suicide Squad ,2016,USA,175000000,David,Ayer
74,Evan Almighty ,2007,USA,175000000,Tom,Shadyac
75,Edge of Tomorrow ,2014,USA,178000000,Doug,Liman
76,Waterworld ,1995,USA,175000000,Kevin,Reynolds
77,G.I. Joe: The Rise of Cobra ,2009,USA,175000000,Stephen,Sommers
78,Inside Out ,2015,USA,175000000,Pete,Docter
79,The Jungle Book ,2016,UK,175000000,Jon,Favreau
80,Iron Man 2 ,2010,USA,200000000,Jon,Favreau
81,Snow White and the Huntsman ,2012,USA,170000000,Rupert,Sanders
82,Maleficent ,2014,USA,180000000,Robert,Stromberg
83,Dawn of the Planet of the Apes ,2014,USA,170000000,Matt,Reeves
85,47 Ronin ,2013,USA,175000000,Carl,Rinsch
86,Captain America: The Winter Soldier ,2014,USA,170000000,Anthony,Russo
87,Shrek Forever After ,2010,USA,165000000,Mike,Mitchell
88,Tomorrowland ,2015,USA,190000000,Brad,Bird
89,Big Hero 6 ,2014,USA,165000000,Don,Hall
90,Wreck-It Ralph ,2012,USA,165000000,Rich,Moore
91,The Polar Express ,2004,USA,165000000,Robert,Zemeckis
92,Independence Day: Resurgence ,2016,USA,165000000,Roland,Emmerich
93,How to Train Your Dragon ,2010,USA,165000000,Dean,DeBlois
94,Terminator 3: Rise of the Machines ,2003,USA,200000000,Jonathan,Mostow
95,Guardians of the Galaxy ,2014,USA,170000000,James,Gunn
96,Interstellar ,2014,USA,165000000,Christopher,Nolan
97,Inception ,2010,USA,160000000,Christopher,Nolan
100,The Fast and the Furious ,2001,USA,38000000,Rob,Cohen
101,The Curious Case of Benjamin Button ,2008,USA,150000000,David,Fincher
102,X-Men: First Class ,2011,USA,160000000,Matthew,Vaughn
